2020-08-20 00:20:47,595 [restartedMain] INFO  c.e.mongodb.MongodbApplication - Starting MongodbApplication on MR_TRUNG with PID 10072 (E:\LUCAS\Interior-world\ServerSide\target\classes started by Mr.Trung in E:\LUCAS\Interior-world\ServerSide)
2020-08-20 00:21:13,034 [restartedMain] INFO  o.a.c.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8099"]
2020-08-20 00:21:13,180 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8099 (http) with context path '/aroma'
2020-08-20 00:21:13,187 [restartedMain] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2020-08-20 00:21:13,188 [restartedMain] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
2020-08-20 00:21:13,194 [restartedMain] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2020-08-20 00:21:13,269 [restartedMain] INFO  c.e.mongodb.MongodbApplication - Started MongodbApplication in 29.575 seconds (JVM running for 35.164)
2020-08-20 00:21:39,952 [http-nio-8099-exec-1] INFO  o.a.c.c.C.[.[.[/aroma] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-08-20 00:21:39,953 [http-nio-8099-exec-1] INFO  o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-08-20 00:21:39,979 [http-nio-8099-exec-1] INFO  o.s.w.s.DispatcherServlet - Completed initialization in 25 ms
2020-08-20 00:21:49,440 [http-nio-8099-exec-9] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:125971}] to cluster0-shard-00-01-fsosc.mongodb.net:27017
2020-08-20 00:21:49,532 [http-nio-8099-exec-8] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:125971}] to cluster0-shard-00-01-fsosc.mongodb.net:27017
2020-08-20 00:22:10,720 [MessageBroker-1] INFO  o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
